Station,Date,Time,Precip,type,Air max,min,obs,Wx,Wind dir,speed,Bulb wet,dry,Soil max,min,Evap,Solar,ETo,RH max,min
SANJOSE.C,20000324,1600,0,,68,45,60,,,,,,,,,,,,
SANJOSE.C,20000325,2359,0,,65,45,,,,,,,,,,,,,
SANJOSE.C,20000326,2359,0,,63,42,,,,,,,,,,,,,
SANJOSE.C,20000327,1600,0,,66,45,56,,,,,,,,,,,,
SANJOSE.C,20000328,1600,0,,64,45,62,,,,,,,,,,,,
SANJOSE.C,20000329,1600,0,,69,43,68,,,,,,,,,,,,
SANJOSE.C,20000330,1600,0,,76,45,73,,,,,,,,,,,,
SANJOSE.C,20000331,1600,0,,82,59,82,,,,,,,,,,,,
SANJOSE.C,20000401,2359,0,,83,62,,,,,,,,,,,,,
SANJOSE.C,20000402,2359,0,,68,48,,,,,,,,,,,,,
SANJOSE.C,20000403,1600,0,,88,55,77,,,,,,,,,,,,
SANJOSE.C,20000404,1600,0,,88,56,67,,,,,,,,,,,,
SANJOSE.C,20000405,2359,0,,65,49,,,,,,,,,,,,,
SANJOSE.C,20000406,1600,0,,71,51,64,,,,,,,,,,,,
SANJOSE.C,20000407,1600,0,,78,46,77,,,,,,,,,,,,
SANJOSE.C,20000408,2359,0,,62,52,,,,,,,,,,,,,
SANJOSE.C,20000409,2359,0,,64,48,,,,,,,,,,,,,
SANJOSE.C,20000410,1600,0,,78,46,70,,,,,,,,,,,,
SANJOSE.C,20000411,1600,0,,80,51,77,,,,,,,,,,,,
SANJOSE.C,20000412,1600,0,,81,58,72,,,,,,,,,,,,
SANJOSE.C,20000413,1600,0,,72,58,69,,,,,,,,,,,,
SANJOSE.C,20000414,1600,0.39,,70,53,64,,,,,,,,,,,,
SANJOSE.C,20000415,2359,0,,63,53,,,,,,,,,,,,,
SANJOSE.C,20000416,2359,0.16,,65,54,,,,,,,,,,,,,
SANJOSE.C,20000417,1600,0.35,,67,52,65,,,,,,,,,,,,
SANJOSE.C,20000418,1600,0,,69,45,66,,,,,,,,,,,,
SANJOSE.C,20000419,1600,0,,71,45,69,,,,,,,,,,,,
SANJOSE.C,20000420,1600,0,,73,50,69,,,,,,,,,,,,
SANJOSE.C,20000421,1600,0,,71,51,64,,,,,,,,,,,,
SANJOSE.C,20000422,2359,0,,64,46,,,,,,,,,,,,,
SANJOSE.C,20000423,2359,0,,65,43,,,,,,,,,,,,,
SANJOSE.C,20000424,1600,0,,74,44,73,,,,,,,,,,,,
SANJOSE.C,20000425,1600,0,,73,48,71,,,,,,,,,,,,
