,LONGITUDE,LATITUDE,SPD,LEN,ACC,VOL,F85th,LOCAL,F50th,Precip,Air max,min,obs,hour,Accident
2760,-121.8623667,37.37014261,30,4000.0,8.0,4800.0,32.0,0,28.5,0.04,76,53,64.5,15.0,1
2761,-121.9289375,37.3639472,30,1260.0,2.0,4500.0,30.0,0,27.0,0.07,61,43,52.0,11.0,0
2762,-121.944756,37.2511113,35,3900.0,6.0,8300.0,38.0,0,34.0,0.03,68,47,57.5,14.0,0
2763,-121.890155,37.2934507,30,3200.0,9.0,3900.0,32.5,0,28.5,0.04,65,48,56.5,20.0,0
2764,-121.8746194,37.2930779,30,800.0,8.0,2250.0,31.0,0,28.0,0.0,82,59,70.5,16.0,0
2765,-121.8809366,37.2890141,35,7000.0,23.0,9000.0,37.5,0,34.0,0.12,58,42,50.0,14.0,0
2766,-121.92231509999998,37.2673117,35,5975.0,46.0,13150.0,38.5,0,35.0,0.15,56,42,49.0,17.0,0
2767,-121.8278398,37.2877486,30,1850.0,17.0,9025.0,34.0,0,31.0,0.02,73,51,62.0,5.0,0
2768,-121.994673,37.2892619,40,12200.0,198.0,36700.0,42.5,0,39.0,0.14,65,48,56.5,5.0,0
2769,-121.87181499999998,37.2777555,40,7200.0,32.0,10600.0,42.3,0,38.7,0.1,57,41,49.0,6.0,0
2770,-121.9128779,37.36342,25,1760.0,2.0,4000.0,31.0,1,25.0,0.09,62,43,52.5,18.0,0
2771,-121.9049074,37.3140812,25,3750.0,11.0,1500.0,30.0,1,25.0,0.04,64,47,55.5,21.0,0
2772,-121.8623077,37.2215616,35,4550.0,14.0,4550.0,39.0,0,35.0,0.0,83,59,71.0,3.0,0
2773,-121.91675990000002,37.381073,35,3940.0,4.0,7600.0,36.0,0,33.0,0.09,63,46,54.5,2.0,0
2774,-121.8259062,37.32237618,35,5400.0,38.0,11050.0,39.3,0,34.7,0.0,83,56,69.5,0.0,1
2775,-121.7850024,37.2960774,45,20800.0,48.0,15550.0,50.3,0,45.3,0.02,80,57,68.5,9.0,0
2776,-121.8137716,37.292134,40,3750.0,7.0,10250.0,43.0,0,39.0,0.0,82,58,70.0,13.0,0
2777,-121.8782507,37.2784989,35,1950.0,14.0,10100.0,38.0,0,34.0,0.01,78,54,66.0,21.0,0
2778,-121.7768451,37.22678610000001,45,9000.0,45.0,17100.0,47.5,0,43.3,0.0,83,58,70.5,20.0,0
2779,-121.8289196,37.32030695,30,1550.0,26.0,6850.0,31.0,0,27.0,0.12,64,47,55.5,17.0,1
2780,-121.9114011,37.3235641,25,2800.0,16.0,11400.0,29.7,0,26.7,0.01,78,54,66.0,19.0,0
2781,-122.0135873,37.3103594,35,5100.0,35.0,17650.0,39.0,0,36.0,0.06,65,46,55.5,21.0,0
2782,-121.7959298,37.2886867,35,9000.0,4.0,2550.0,39.3,0,35.3,0.0,85,60,72.5,18.0,0
