,Unnamed: 0,LONGITUDE,LATITUDE,SPD,LEN,ACC,VOL,F85th,LOCAL,F50th,Precip,Air max,min,obs,year,month,day,hour,Accident
583,691,-121.7666876,37.29301992,25,3700.0,1.0,800.0,34.0,1,25.0,0.07,63,45,54.0,2017.0,2.0,20.0,19.0,1
584,679,-121.80694799999999,37.24664965,35,2700.0,11.0,7150.0,39.0,0,35.0,0.02,61,43,52.0,2017.0,2.0,1.0,4.0,1
585,1093,37.29000509999999,-121.8978028,15,2200.0,4.0,3500.0,16.5,0,15.0,0.0,81,56,68.5,2013.0,6.0,1.0,4.0,0
586,3,-121.9065865,37.36338547,25,1865.0,1.0,1600.0,25.0,0,22.0,0.12,58,42,50.0,2013.0,1.0,4.0,17.0,1
587,872,37.2788526,-121.985808,25,2650.0,2.0,950.0,31.0,1,25.0,0.0,85,60,72.5,2013.0,8.0,8.0,15.0,0
588,1034,37.2905712,-121.81758,25,3615.0,6.0,1100.0,29.0,0,25.5,0.0,83,57,70.0,2017.0,6.0,26.0,10.0,0
589,851,-121.95001840000002,37.30421721,25,2430.0,2.0,1450.0,28.5,0,24.0,0.15,56,42,49.0,2017.0,12.0,28.0,21.0,1
590,499,-121.8437737,37.38282912,35,3400.0,16.0,10250.0,39.0,0,36.0,0.11,65,46,55.5,2016.0,3.0,6.0,0.0,1
591,580,-121.8225077,37.35981405,30,2400.0,11.0,3500.0,36.0,0,30.0,0.0,82,59,70.5,2016.0,8.0,15.0,13.0,1
592,1105,37.2435756,-121.9461822,35,9650.0,14.0,6400.0,38.7,0,35.0,0.0,78,55,66.5,2014.0,10.0,6.0,1.0,0
593,132,-121.90809679999998,37.36898445,40,2900.0,11.0,12650.0,41.0,0,37.0,0.02,75,52,63.5,2013.0,10.0,15.0,12.0,1
594,1077,37.246838000000004,-121.86769170000001,30,2100.0,8.0,3150.0,34.0,0,31.0,0.12,58,42,50.0,2015.0,1.0,7.0,21.0,0
595,1288,37.241124400000004,-121.901651,30,3600.0,3.0,1900.0,32.0,0,27.0,0.1,63,45,54.0,2013.0,2.0,23.0,19.0,0
596,616,-121.9135149,37.28990566,35,7300.0,54.0,24050.0,39.5,0,37.0,0.05,74,53,63.5,2016.0,10.0,19.0,8.0,1
597,737,-121.9434877,37.26347367,40,4051.0,17.0,20100.0,44.5,0,39.5,0.02,74,52,63.0,2017.0,5.0,4.0,13.0,1
598,304,-121.83640159999999,37.23682918,35,4950.0,22.0,10200.0,40.0,0,36.5,0.02,61,43,52.0,2015.0,2.0,1.0,4.0,1
599,944,37.3905034,-121.85959820000001,30,1850.0,9.0,3250.0,33.0,1,29.0,0.05,70,48,59.0,2017.0,4.0,19.0,17.0,0
600,392,-121.78421540000001,37.23557882,35,3700.0,4.0,5100.0,38.5,0,34.0,0.0,84,59,71.5,2015.0,8.0,31.0,21.0,1
601,125,-121.9047098,37.36815583,40,2900.0,11.0,12650.0,41.0,0,37.0,0.0,79,57,68.0,2013.0,9.0,27.0,17.0,1
602,597,-121.82590619999999,37.32237618,35,5400.0,38.0,11050.0,39.3,0,34.7,0.0,83,56,69.5,2016.0,9.0,20.0,0.0,1
603,1180,37.2602948,-121.85460800000001,30,2150.0,3.0,2900.0,34.0,0,31.0,0.0,82,58,70.0,2014.0,7.0,3.0,21.0,0
604,789,-122.0322699,37.30607075,35,5650.0,18.0,15700.0,40.0,0,36.5,0.0,82,58,70.0,2017.0,8.0,23.0,11.0,1
605,535,-121.8677483,37.32475017,30,14650.0,183.0,25700.0,34.3,0,30.5,0.0,78,56,67.0,2016.0,5.0,31.0,21.0,1
606,780,-121.91374579999999,37.3207576,25,5950.0,34.0,5250.0,28.5,0,24.5,0.0,82,59,70.5,2017.0,8.0,4.0,18.0,1
607,454,-121.8690844,37.29838356,25,3520.0,9.0,3550.0,30.0,0,26.0,0.08,59,42,50.5,2015.0,12.0,18.0,22.0,1
